achiote seeds,achiote + pork + sour orange
iranian cuisine,cardamom + cinnamon + cloves + cumin + ginger + rose
iranian cuisine,duck + pomegranates + walnuts
italian cuisine,anchovies + capers + lemon juice
italian cuisine,anchovies + garlic + wine vinegar
italian cuisine,basil + garlic + olive oil
italian cuisine,basil + garlic + tomatoes
italian cuisine,bell peppers + olive oil + tomatoes
italian cuisine,capers + garlic + wine vinegar
italian cuisine,garlic + olive oil + parsley
italian cuisine,garlic + oregano + tomatoes
italian cuisine,garlic + saffron + shellfish
italian cuisine,red pepper flakes + fennel + sausage
japanese cuisine,bonito flakes + kelp
japanese cuisine,garlic + ginger + soy sauce
japanese cuisine,ginger + scallions + soy sauce
japanese cuisine,sake + soy sauce + sugar
japanese cuisine,soy sauce + wasabi
jicama,jicama + avocado + grapefruit + pumpkin seeds
jicama,jicama + chili powder + lime juice
juniper berries,juniper berries + game + garlic + rosemary
kaffir limes and kaffir lime leaf,kaffir lime + saffron + seafood
kaffir limes and kaffir lime leaf,kaffir lime leaf + duck + ginger
kaffir limes and kaffir lime leaf,kaffir lime leaf + rice + turmeric
kale,kale + garlic + olive oil + red wine vinegar
kale,kale + onions + salt + smoked sausage
korean cuisine,chile peppers + garlic + soy sauce
korean cuisine,chile peppers + sesame seeds + soy sauce
korean cuisine,chile peppers + soy sauce
korean cuisine,garlic + sesame seeds + soy sauce
korean cuisine,garlic + soy sauce
lamb,lamb + broccoli rabe + parmesan cheese
lamb,lamb + cardamom + yogurt
lamb,lamb + carrots + ginger + pistachios
lamb,lamb + carrots + lentils + parsley
lamb,lamb + chickpeas + garlic
lamb,lamb + chocolate + cinnamon + cloves
lamb,lamb + cilantro + dill + garlic + mint
lamb,lamb + cinnamon + dried apricots + preserved lemons + walnuts
lamb,lamb + cinnamon + garlic + lemon + mint + onion + oregano
lamb,lamb + cinnamon + prunes
lamb,lamb + clove + red wine
lamb,lamb + cream + fenugreek + garlic
lamb,lamb + cucumber + mint + tomatoes
lamb,lamb + escarole + lemon
lamb,lamb + fava beans + thyme
lamb,lamb + fennel + onions + turnips
lamb,lamb + flageolet beans + thyme
lamb,lamb + garlic + flageolet beans
lamb,lamb + garlic + olives
lamb,lamb + garlic + rosemary
lamb,lamb + mint + mustard
lamb,lamb + mint + olives
lamb,lamb + mint + parsley
lamb,lamb + mint + peas + risotto
lamb,lamb + mint + ricotta cheese
lamb,lamb + mint + tomatoes
"lamb, chops",lamb chop + lemon + mint
latin american cuisine,beef + corn + sweet potatoes
latin american cuisine,garlic + onions + peppers
latin american cuisine,meats + black beans + greens + orange + rice
latin american cuisine,seafood + chile peppers + cilantro + garlic + lime
lavender,lavender + cream + sugar
lavender,lavender + meat + salt
leeks,leeks + anchovies + garlic + olive oil
leeks,leeks + bacon + cream
leeks,leeks + cream + thyme
leeks,leeks + mustard + vinaigrette
lemons,lemon + berries + crème fraîche
lemons,lemon + blackberries + honey + ricotta cheese
lemongrass,lemongrass + chives + mint
lemongrass,lemongrass + cilantro + mint
lemongrass,lemongrass + cream + vanilla
lemon verbena,lemon verbena + apricots + sugar
lentils,lentils + bacon + bell pepper + cumin + garlic
lentils,lentils + bacon + garlic + sherry vinegar
lentils,lentils + bay leaf + onions + thyme
lentils,lentils + cumin + turmeric
lentils,lentils + olive oil + parsley + sorrel
"lettuces, mesclun greens",mesclun greens + goat cheese + hazelnuts
"lettuce, romaine",romaine + anchovies + parmesan cheese
"lettuce, romaine",romaine + capers + garlic + parmesan cheese + red onions
limes,lime + blueberries + burnt honey + crème fraîche
limes,lime + caramel + cream cheese + macadamia nuts
limes,lime + strawberries + tequila
"liver, calf's",calf's liver + arugula + onions + pancetta
"liver, calf's",calf's liver + figs + onions + red wine vinegar
"liver, chicken",chicken livers + apples + sage
"liver, chicken",chicken livers + bacon + balsamic vinegar + onions + rosemary
"liver, chicken",chicken livers + kale + lemon
lobster,lobster + artichokes + garlic
lobster,lobster + avocado + mayonnaise + tarragon + white wine vinegar
lobster,lobster + bacon + porcini mushrooms
lobster,lobster + basil + hazelnuts + morel mushrooms
lobster,lobster + basil + tomatoes
lobster,lobster + brandy + cream + rosemary
lobster,lobster + brown butter + orange + vanilla
lobster,lobster + butter + garlic + tarragon
lobster,lobster + celery + mayonnaise + black truffles
lobster,lobster + chanterelle mushrooms + parsley + pernod
lobster,lobster + chanterelle mushrooms + tarragon
lobster,lobster + chive + lemon
lobster,lobster + cilantro + cumin
lobster,lobster + corn + garlic + lemon + potatoes + tarragon
lobster,lobster + fennel + lemon
lobster,lobster + mango + spinach
lobster,lobster + mayonnaise + wasabi
lobster,lobster + orange + soy sauce
lobster,lobster + pasta + peas
lobster,lobster + saffron + vanilla
lovage,lovage + dungeness crab + stinging nettles
lovage,lovage + salmon + tomatoes
lychees,lychees + ginger + lime
lychees,lychees + raspberries + rose
macadamia nuts,macadamia nuts + bananas + caramel + cream
macadamia nuts,macadamia nuts + beets + goat cheese
macadamia nuts,macadamia nuts + coconut + lime
mace,mâche + apples + bacon
mace,mâche + apples + bacon + vinegar
mace,mâche + apples + beets + endive + sherry vinaigrette + walnuts
mace,mâche + oranges + pistachios + pomegranates
mackerel,mackerel + arugula + chickpeas + lemon + rosemary
mackerel,mackerel + chives + dijon mustard + lemon juice + shallots + vinegar
mackerel,mackerel + ginger + scallions
mackerel,mackerel + onions + thyme
mahi mahi,mahi mahi + avocado + cabbage + cilantro
mangoes,mango + almonds + lime
mangoes,mango + basil + champagne
mangoes,mango + black pepper + lemon + mint + passion fruit
mangoes,mango + coconut + rice
mangoes,mango + ginger + mint + papaya
mangoes,mango + salmon + sushi rice
maple syrup,maple syrup + blueberries + lemon
maple syrup,maple syrup + butter + chocolate + cream
maple syrup,maple syrup + caramel + pecans
maple syrup,maple syrup + mascarpone + pistachios
marjoram,marjoram + chicken + lemon
marjoram,marjoram + fresh goat cheese + prosciutto
marjoram,marjoram + tomato sauce + zucchini
mascarpone,mascarpone + arugula + truffle oil
mascarpone,mascarpone + berries + figs
mascarpone,mascarpone + chocolate + strawberries
mascarpone,mascarpone + cinnamon + pumpkin
mascarpone,mascarpone + espresso + ladyfingers (cookies) + sugar
mascarpone,mascarpone + figs + prosciutto
mascarpone,mascarpone + maple syrup + pistachios
mediterranean cuisines,marjoram + rosemary
mediterranean cuisines,savory + thyme
mexican cuisine,beans + rice
mexican cuisine,chile peppers + lime
mexican cuisine,chile peppers + tomatoes
mexican cuisine,cilantro + lime
middle eastern cuisine,cilantro + cumin + ginger + red pepper
middle eastern cuisine,cinnamon + cloves + ginger + nutmeg
middle eastern cuisine,cinnamon + lemons + tomatoes
middle eastern cuisine,cinnamon + tomatoes
middle eastern cuisine,coriander + cumin + garlic
middle eastern cuisine,coriander + cumin + garlic + onions + parsley
middle eastern cuisine,coriander + cumin + garlic + pepper
middle eastern cuisine,eggplant + onions + tomatoes
middle eastern cuisine,garlic + coriander
middle eastern cuisine,garlic + lemon + mint
middle eastern cuisine,garlic + lemon + oregano
middle eastern cuisine,garlic + lemon + parsley
middle eastern cuisine,lemon + parsley
middle eastern cuisine,meat + cinnamon
middle eastern cuisine,salads + goat cheese + pomegranate seeds
middle eastern cuisine,yogurt + garlic + mint
middle eastern cuisine,yogurt + mint
middle eastern cuisine,yogurt + parsley
mint,mint + chocolate + cream
mint,mint + cilantro + dill
mint,mint + cucumber + lime
mint,mint + cucumber + vinegar
mint,mint + cucumber + yogurt
mint,mint + lamb + yogurt
mirepoix,carrots + celery + onions
monkfish,monkfish + aioli + new potatoes
monkfish,monkfish + apples + sausage
monkfish,monkfish + bacon + cabbage + potatoes
monkfish,monkfish + basil + swiss chard + thyme
monkfish,monkfish + curry + mussels + saffron
monkfish,monkfish + leeks + mussels
monkfish,monkfish + red cabbage + pancetta
monkfish,monkfish + white beans + fennel + garlic + saffron + tomatoes
moroccan cuisine,chile peppers + garlic + olive oil + salt (aka harissa)
moroccan cuisine,cinnamon + coriander + cumin
moroccan cuisine,eggplant + cinnamon + mint
moroccan cuisine,green tea + dried spearmint + sugar
moroccan cuisine,lamb + cinnamon + honey + prunes
moroccan cuisine,oranges + cinnamon + honey
moroccan cuisine,parsley + lemon juice + olive oil
moroccan cuisine,phyllo dough + almonds + cinnamon + honey
moroccan cuisine,phyllo dough + honey + sesame seeds
mushrooms,mushrooms + garlic + lemon + olive oil
mushrooms,mushrooms + garlic + parsley
mushrooms,mushrooms + garlic + shallots
"mushrooms, chanterelles",chanterelles + butter + cream + garlic + parsley
"mushrooms, chanterelles",chanterelles + cream + garlic + thyme
"mushrooms, morels",morels + asparagus + ramps
"mushrooms, morels",morels + garlic + lemon + olive oil + parsley
"mushrooms, porcini",porcini + almonds + balsamic vinegar
"mushrooms, porcini",porcini + arugula + lemon + parmesan cheese
"mushrooms, porcini",porcini + balsamic vinegar + radicchio
"mushrooms, porcini",porcini + carrots + sage
"mushrooms, porcini",porcini + coffee + veal
"mushrooms, porcini",porcini + lemon juice + olive oil
"mushrooms, porcini",porcini + parsley + tomatoes
"mushrooms, porcini",porcini + prosciutto + spinach
"mushrooms, portobello",portobello mushrooms + lemon + mint + olive oil
"mushrooms, portobello",portobello mushrooms + polenta + spinach
"mushrooms, shiitake",shiitake mushrooms + basil + onions
mussels,mussels + clams + garlic + onion + thyme + white wine
mussels,mussels + cream + curry + saffron
mussels,mussels + fennel + saffron + white wine
mussels,mussels + garlic + saffron + tomatoes
mussels,mussels + dijon mustard + saffron
mussels,mussels + mustard + tarragon
mussels,mussels + olives + oranges
mussels,mussels + saffron + tarragon + tomatoes
mustard,mustard + curry leaves + cumin
mustard,mustard + garlic + oil + shallots + vinegar
mustard,mustard + garlic + oil + vinegar
mustard,mustard + oil + shallots + vinegar
nutmeg,nutmeg + allspice + cinnamon
nutmeg,nutmeg + cloves + cream
nutmeg,nutmeg + cloves + ginger + white pepper (quatre épices)
nutmeg,nutmeg + cream + spinach
oatmeal,oatmeal + currants + maple syrup
oatmeal,oatmeal + pears + vanilla + yogurt
octopus,octopus + chorizo + lemon
octopus,octopus + jalapeño peppers + mint
octopus,octopus + orange + potatoes
octopus,octopus + sake + sea salt
"oil, avocado",avocado oil + chardonnay vinegar + tomato water
"oil, sesame",sesame oil + ginger + mustard + rice wine vinegar
onions,taste: pungent (+ sweet with cooking via caramelization)
onions,onions + balsamic vinegar + brown sugar
onions,onions + beer + cheese + nutmeg
onions,onions + garlic + thyme
"onions, sweet",vidalia onions + goat cheese + tomatoes + sherry vinegar
oranges,orange + anise + chocolate
oranges,orange + anise + dried figs + walnuts
oranges,orange + basil + sugar
oranges,orange + chocolate + pistachios
oranges,orange + cinnamon + honey + saffron
oranges,orange + seafood + tarragon
oregano,oregano + basil + tomato
oregano,oregano + lemon juice + marjoram
oysters,oysters + caviar + leeks
oysters,oysters + caviar + tapioca
oysters,oysters + clams + potatoes + thyme
oysters,oysters + cream + horseradish + onions
oysters,oysters + ginger + horseradish + sherry vinegar
oysters,oysters + horseradish + champagne vinegar
oysters,oysters + muscadet + shallots + vinegar
oysters,oysters + shallots + vinegar
paprika,paprika + beef + sour cream
"paprika, smoked",smoked paprika + mayonnaise + seafood
parsley,parsley + bulgur wheat + garlic + lemon + mint + olive oil + scallions
parsley,parsley + butter + garlic
parsley,parsley + capers + garlic + lemon zest + olive oil
parsley,parsley + garlic
parsley,parsley + garlic + lemon zest
parsley,parsley + garlic + olive oil + parmesan cheese + vinegar
parsley,parsley + lemon juice + olive oil + parmesan cheese
parsnips,parsnips + butter + cream + potatoes
parsnips,parsnips + carrots + nutmeg + potatoes
parsnips,parsnips + cream + nutmeg
parsnips,parsnips + honey + mustard
parsnips,parsnips + pancetta + parmesan cheese + pasta
passion fruit,passion fruit + banana + orange
passion fruit,passion fruit + caramel + coconut
passion fruit,passion fruit + caramel + ginger + white chocolate
passion fruit,passion fruit + cream + ice wine
passion fruit,passion fruit + dark chocolate + ginger + raspberries
pasta,pasta + anchovies + bread crumbs + capers + red pepper flakes + garlic + olives
pasta,pasta + anchovies + mozzarella cheese
pasta,pasta + artichokes + garlic + lobster
pasta,pasta + bacon + black pepper + eggs + olive oil + pecorino cheese
pasta,pasta + basil + garlic + tomato
pasta,pasta + basil + peas + shrimp
pasta,pasta + basil + scallops + tomato
pasta,pasta + bread crumbs + greens + shrimp + white beans
pasta,pasta + bread crumbs + raisins + sardines
pasta,pasta + chickpeas + garlic + sage
pasta,pasta + chile peppers + lobster + mint
pasta,pasta + clams + pancetta
pasta,pasta + cream + peas + prosciutto
pasta,pasta + duck confit + wild mushrooms
pasta,pasta + fennel + sausage + tomato + white beans
pasta,pasta + figs + pancetta
pasta,pasta + gorgonzola cheese + spinach + walnuts
pasta,pasta + gruyère cheese + nutmeg + ricotta cheese
pasta,pasta + lamb + lemon + rosemary
pasta,pasta + lamb + mint + olives
pasta,pasta + lobster + peas
pasta,pasta + mushrooms + pumpkin + sage
pasta,pasta + pancetta + stridoli
pasta,pasta + parmesan cheese + sage + tomato
pasta,pasta + pesto + white beans
pasta,pasta + pumpkin + pecans + ricotta cheese + sage
pasta,pasta + red pepper flakes + fennel + sardines + tomatoes
pasta,pasta + red pepper flakes + garlic + olive oil
pasta,pasta + ricotta cheese + veal shanks
pasta,pasta + rosemary + venison
pasta,pasta + spinach + ricotta cheese
pasta,pasta + tomatoes + ricotta cheese
peaches,peaches + apples + vanilla
peaches,peaches + blueberries + mascarpone
peaches,peaches + cream + honey + vanilla
peaches,peaches + figs + maple syrup
peaches,peaches + ginger + sugar
peaches,peaches + orange liqueur + vanilla
peaches,peaches + sugar + yogurt
pears,pears + amaretto + hazelnuts
pears,pears + arugula + parmesan cheese + vinaigrette + walnuts
pears,pears + bacon + bitter greens + goat cheese
pears,pears + blue cheese + olive oil + red wine vinegar + watercress
pears,pears + caramel + balsamic vinegar
pears,pears + caramel + chestnuts + crème fraîche
pears,pears + caramel + chocolate
pears,pears + cinnamon + ginger + honey
pears,pears + fennel + parmesan cheese + balsamic vinegar + walnuts
pears,pears + ginger + honey + vanilla
pears,pears + gorgonzola cheese + vinaigrette + walnuts
pears,pears + honey + lime + vanilla
pears,pears + honey + rosemary
pears,pears + maple syrup + walnuts
pears,pears + mascarpone + pistachios + red wine
pears,pears + pecorino cheese + balsamic vinegar
pears,pears + roquefort cheese + sugar + vanilla + red wine
pears,pears + roquefort cheese + walnuts
pears,pears + stilton cheese + hazelnuts + balsamic vinegar
peas,peas + bacon + cream + shallots
peas,peas + basil + potatoes
peas,peas + celery + olive oil + onions + chicken stock + sugar
peas,peas + custard + parmesan cheese
peas,peas + lobster + pasta
peas,peas + marjoram + mascarpone + parmesan cheese
peas,peas + mint + morel mushrooms
peas,peas + mushrooms + ricotta cheese
peas,peas + onions + pancetta + sage
persimmons,persimmons + allspice + cinnamon + ginger
pheasant,pheasant + apples + potatoes
pineapples,pineapple + avocado + watercress
pineapples,pineapple + banana + ginger + rum + sugar + vanilla
pineapples,pineapple + berries + citrus + mangoes + star anise
pineapples,pineapple + coconut + honey + oranges
pineapples,pineapple + ice cream + brown sugar + vanilla
pineapples,pineapple + lime + sugar
pineapples,pineapple + madeira + brown sugar + vanilla
pineapples,pineapple + rum + sugar
pineapples,pineapple + rum + vanilla + walnuts
pine nuts,pine nuts + apples + apricots + rosemary
pine nuts,pine nuts + basil + garlic + olive oil + parmesan cheese (pesto)
plums,plums + arugula + prosciutto
plums,plums + bay leaf + vanilla
plums,plums + cinnamon + cloves + red wine + sugar
plums,plums + cinnamon + orange
plums,plums + cream + sugar + vanilla
plums,plums + ginger + raspberries
plums,plums + ginger + yogurt
prunes,prunes + allspice + bay leaf + cinnamon + black pepper
prunes,prunes + apples + brandy + vanilla + yogurt
prunes,prunes + armagnac + chocolate
prunes,prunes + armagnac + crème fraîche
prunes,prunes + brandy + cream + vanilla
prunes,prunes + cheese + cumin + walnuts
prunes,prunes + cognac + honey + sauternes
polenta,polenta + chanterelle mushrooms + white truffle oil
polenta,polenta + gorgonzola cheese + mascarpone + walnuts
polenta,polenta + parmesan cheese + rosemary
pomegranates,pomegranates + almonds + cinnamon + cloves + garlic + ginger + honey
pomegranates,pomegranates + chicken + coconut + curry + onions
pomegranates,pomegranates + lemon + sugar
pomelos,pomelo + pickled ginger + fish
pomelos,pomelo + salt + chili powder
pork,pork + allspice + mace
pork,pork + apples + mustard
pork,pork + bacon + mustard + sauerkraut
pork,pork + chile peppers + cilantro + garlic + lime + peanuts
pork,pork + cinnamon + star anise
pork,pork + coriander + honey + soy sauce
pork,pork + clove + garlic + orange
pork,pork + cream + potatoes + thyme
pork,pork + curry + garlic + yogurt
pork,pork + fennel + garlic
pork,pork + garlic + ginger + molasses
pork,pork + ginger + honey + soy sauce
pork,pork + mustard + sauerkraut
pork,pork + port + rosemary
pork chops,pork chop + apples + ginger + sage
pork chops,pork chop + arugula + tomatoes
pork chops,pork chop + greens + sweet potatoes
pork chops,pork chop + peaches + balsamic vinegar
pork loin,pork loin + figs + onions
pork loin,pork loin + red cabbage + port wine
pork shoulder,pork shoulder + bay leaves + wild mushrooms
pork shoulder,pork shoulder + chipotle peppers + cumin + tomatoes
pork shoulder,pork shoulder + plantains + rice + rum
portuguese cuisine,clams + garlic + paprika + pork
portuguese cuisine,cod + eggs + onions + potatoes
portuguese cuisine,garlic + kale + onions + potatoes
portuguese cuisine,piri piri peppers + garlic + lemon juice + olive oil + salt
potatoes,potatoes + bacon + cheese + onions
potatoes,potatoes + chives + sour cream
potatoes,potatoes + cream + garlic + parmesan cheese + rosemary
potatoes,potatoes + cream + leeks + oysters
potatoes,potatoes + gruyère cheese + winter squash
potatoes,potatoes + leeks + nutmeg
"potatoes, new",new potatoes + garlic + shallots + tarragon + vinegar
pumpkin,pumpkin + allspice + bay leaf + cinnamon + salt
pumpkin,pumpkin + allspice + cinnamon + ginger
pumpkin,pumpkin + amaretti cookie crumbs + butter + pasta + sage
pumpkin,pumpkin + apples + curry
pumpkin,pumpkin + brown sugar + pine nuts
pumpkin,pumpkin + butter + garlic + chicken stock + thyme
pumpkin,pumpkin + chile peppers + garlic
pumpkin,pumpkin + cream cheese + orange + rum
pumpkin,pumpkin + cream cheese + pumpkin seeds + sugar
pumpkin,pumpkin + custard + garlic
pumpkin,pumpkin + honey + balsamic vinegar
pumpkin,pumpkin + olive oil + rosemary
quail,quail + arugula + pomegranate
quail,quail + bacon + brussels sprouts
quail,quail + bacon + garlic + lemon
quail,quail + bourbon + molasses + pears
quail,quail + chanterelle mushrooms + tarragon + tomato
quail,quail + cinnamon + sumac
quail,quail + figs + vinaigrette
quail,quail + marjoram + olive oil + rosemary + sage + thyme
quatre épices,cloves (allspice or cinnamon) + ginger + nutmeg + black and/or white pepper
rabbit,rabbit + bacon + rosemary
rabbit,rabbit + garlic + potatoes + rosemary + shallots
rabbit,rabbit + mushrooms + noodles
rabbit,rabbit + mushrooms + tarragon
rabbit,rabbit + mustard + red wine
rabbit,rabbit + vinegar + red wine
rabbit,rabbit + rosemary + tomato
rabbit,rabbit + shallots + white beans
radicchio,radicchio + arugula + endive
radicchio,radicchio + asiago cheese + olive oil + balsamic vinegar
radicchio,radicchio + duck + risotto + reduced balsamic vinegar
radicchio,radicchio + fennel + prosciutto
radicchio,radicchio + gorgonzola cheese + pears
radicchio,radicchio + hard-boiled eggs + olive oil + prosciutto + sherry vinegar + walnuts
radicchio,radicchio + mushrooms + risotto + balsamic vinegar
radishes,radishes + bread + butter + salt
raisins,raisins + orange + rum
ramps,ramps + asparagus + morels
ramps,ramps + lentils + pork
ramps,ramps + parmesan cheese + risotto
ramps,ramps + pasta + speck
raspberries,raspberries + almonds + lemon
raspberries,raspberries + almonds + vanilla
raspberries,raspberries + cream + star anise
raspberries,raspberries + crème fraîche + lemon
raspberries,raspberries + custard + mint
raspberries,raspberries + lemon + peaches
raspberries,raspberries + sugar + vanilla + white chocolate
rhubarb,rhubarb + blood orange + caramelized sugar
rhubarb,rhubarb + caramel + orange
rhubarb,rhubarb + cardamom + orange
rhubarb,rhubarb + cardamom + sugar + vanilla
rhubarb,rhubarb + cinnamon + cream + walnuts
rhubarb,rhubarb + cream cheese + lime + vanilla
rhubarb,rhubarb + fennel + mascarpone
rhubarb,rhubarb + honey + lemon + vanilla
rhubarb,rhubarb + lemon + yogurt
rhubarb,rhubarb + mint + orange
rhubarb,rhubarb + mint + sugar + vanilla
rhubarb,rhubarb + stilton cheese + port wine
rhubarb,rhubarb + strawberry + vanilla
"rice, arborio",risotto + artichokes + lemon + prosciutto
"rice, arborio",risotto + asparagus + chervil + morel mushrooms
"rice, arborio",risotto + asparagus + saffron + scallops
"rice, arborio",risotto + bacon + butternut squash + maple syrup + sage
"rice, arborio",risotto + chanterelle mushrooms + zucchini blossoms
"rice, arborio",risotto + chorizo + clams + saffron
"rice, arborio",risotto + corn + parmesan cheese + scallions
"rice, arborio",risotto + corn + parmesan cheese + shrimp
"rice, arborio",risotto + mussels + parsley + peas
"rice, arborio",risotto + pancetta + parmesan cheese + pumpkin
"rice, arborio",risotto + peas + prosciutto
"rice, arborio",risotto + sweet onions + parmesan cheese
"rice, arborio",risotto + veal + black truffles
"rose (hips, petals, water)",rose + almonds + cream/milk
"rose (hips, petals, water)",rose + honey + yogurt
"rose (hips, petals, water)",rose + lemon + pistachios
"rose (hips, petals, water)",rose + lychee + raspberries
rosemary,rosemary + anchovies + garlic
rosemary,rosemary + butter + lemon
rosemary,rosemary + garlic + lamb
rosemary,rosemary + garlic + lemon
rosemary,rosemary + garlic + wine
rosemary,rosemary + onions + potatoes
rosemary,rosemary + parmesan cheese + polenta
rosemary,rosemary + pork + sherry
rum,rum + apples + butter + nuts + vanilla
rum,rum + apples + carrot juice + spices
rum,rum + apples + cinnamon + pumpkin
rum,rum + coconut water + tropical fruits
rum,rum + lime + banana + sugar
rum,rum + lime + mint + sugar
rum,rum + lime + pineapple + sugar
russian cuisine,mushrooms + cloves + pepper + vinegar
rutabagas,rutabagas + apples + maple syrup
rutabagas,rutabagas + cheese + potatoes
rutabagas,rutabagas + potatoes + rosemary
saffron,saffron + fish + rice
saffron,saffron + ginger + vanilla
saffron,saffron + monkfish + rice
sage,sage + marjoram + thyme
sage,sage + parsley + rosemary + thyme
sage,sage + pasta + walnuts
sage,sage + stuffing + turkey + walnuts
sake,sake + cucumber + lime
salmon,salmon + apple + horseradish + rosemary
salmon,salmon + avocado + chile peppers + grapefruit
salmon,salmon + bacon + cabbage + chestnuts
salmon,salmon + bacon + lentils + sherry vinegar
salmon,salmon + basil + white beans
salmon,salmon + beets + crème fraîche + cucumber + horseradish
salmon,salmon + caviar + vermouth
salmon,salmon + chervil + chives + leeks + lemon + morels + peas + potatoes
salmon,salmon + cucumber + balsamic vinegar
salmon,salmon + cucumber + dill
salmon,salmon + cucumber + dill + horseradish
salmon,salmon + cucumber + tomato
salmon,salmon + lemon juice + dijon mustard
salmon,salmon + marjoram + peas
salmon,salmon + miso + pineapple + tomato + white wine
salmon,salmon + mustard + scallions
salmon,salmon + orange + tomato
salmon,salmon + peas + potatoes
salmon,salmon + pineapple + tomatoes
salmon,salmon + potato + watercress
"salmon, smoked",smoked salmon + chives + crème fraîche + dill + pumpernickel-rye blini
"salmon, smoked",smoked salmon + chives + dill + scrambled eggs + potatoes
"salmon, smoked",smoked salmon + cream cheese + lemon juice + shallots + sour cream
"salmon, smoked",smoked salmon + cucumber + horseradish + mint
"salmon, smoked",smoked salmon + dill + horseradish + lemon juice + sour cream
salsify,salsify + parmesan cheese + prosciutto
sausages,sausages + mustard + sauerkraut
sausages,sausages + onions + potatoes + tomatoes
sausages,sausages + radicchio + white beans
savory,savory + garlic + tomatoes
scallops,scallops + almonds + cauliflower
scallops,scallops + apples + bacon + watercress
scallops,scallops + apples + tarragon
scallops,scallops + asparagus + butter + lemongrass
scallops,scallops + avocado + lemon + lobster
scallops,scallops + bacon + chives
scallops,scallops + bacon + garlic + chanterelle mushrooms
scallops,scallops + bacon + leeks
scallops,scallops + basil + caviar + chives + tomatoes
scallops,scallops + basil + chicken stock + duck fat + garlic + lemon juice + tomatoes
scallops,scallops + basil + grapefruit
scallops,scallops + bay leaf + vanilla
scallops,scallops + brussels sprouts + pancetta
scallops,scallops + carrot juice + pomegranate juice
scallops,scallops + cauliflower + cream
scallops,scallops + cilantro + lemon + sake
scallops,scallops + coriander + crab + lemon + thyme
scallops,scallops + dashi + japanese mushrooms
scallops,scallops + edamame + mint
scallops,scallops + fennel + lemon + parsley
scallops,scallops + fennel + orange + rosemary
scallops,scallops + garlic + mushrooms
scallops,scallops + ginger + mint
scallops,scallops + ginger + scallions
scallops,scallops + ham + pineapple
scallops,scallops + kaffir lime + lemongrass + peanuts
scallops,scallops + parsley + salmon roe
scandinavian cuisine,apples + cinnamon + sugar
scandinavian cuisine,cardamom + ginger + cinnamon + nutmeg + cloves
scandinavian cuisine,cucumbers + dill + onions + sugar + vinegar
scotch,scotch + earl grey tea + tamarind syrup
scotch,scotch + ginger + lemon juice
seafood,seafood + brandy + sherry
seafood,seafood + fennel + lemon + mint
seafood,seafood + green apple + ginger
"sesame seeds, white",sesame seeds + honey + tahini paste + vanilla
"sesame seeds, white",sesame seeds + garlic + soy sauce + spinach
shellfish,shellfish + almonds + vanilla
shellfish,shellfish + curry + lemongrass
shellfish,shellfish + saffron + cream
shiso leaf,shiso leaf + avocado + crab
shiso leaf,shiso leaf + clams + onions
shrimp,shrimp + bacon + chives
shrimp,shrimp + basil + garlic + jalapeño chile
shrimp,shrimp + black beans + coriander
shrimp,shrimp + cayenne + cinnamon + orange
shrimp,shrimp + cepes mushrooms + curry powder + dijon mustard
shrimp,shrimp + chiles + lime juice + brown sugar
shrimp,shrimp + coriander + tarragon
shrimp,shrimp + crab + old bay seasoning
shrimp,shrimp + crab + pistachio nuts + watercress
shrimp,shrimp + garlic + grits + mascarpone + tomato
shrimp,shrimp + garlic + lime
shrimp,shrimp + garlic + mustard + tarragon
shrimp,shrimp + ginger + green apple + saffron
shrimp,shrimp + horseradish + ketchup + lemon
shrimp,shrimp + white beans + bell pepper + orange + sausage
skate,skate + butter + pistachios
skate,skate + capers + garlic + lemon juice
skate,skate + capers + sherry vinegar
skate,skate + fennel + onions
skate,skate + garlic + sage
snap peas,snap peas + brown butter + sage
snapper,snapper + clams + romesco sauce + sausage
snapper,snapper + fennel + olives + orange + saffron
snapper,snapper + coconut + crab + papaya
snapper,snapper + garlic + potatoes + rosemary
snapper,snapper + lemon + thyme + tomatoes
sole,sole + butter + lemon + parsley
sole,sole + paprika + potatoes
sorrel,sorrel + butter + chicken stock
sorrel,sorrel + garlic + spinach
sorrel,sorrel + leeks + potatoes
sorrel,sorrel + nutmeg + ricotta cheese
southeast asian cuisines,chile peppers + fish sauce + lime + sugar
southeast asian cuisines,fish sauce + lime + tamarind
soy sauce,soy sauce + coriander + honey
soy sauce,soy sauce + garlic + ginger
soy sauce,soy sauce + molasses + sugar
spanish cuisine,almonds + garlic + olive oil
spanish cuisine,almonds + olive oil
spanish cuisine,garlic + olive oil
spanish cuisine,garlic + onions + paprika + rice + saffron
spanish cuisine,garlic + onions + parsley
spanish cuisine,red peppers + onions + tomatoes
spanish cuisine,tomatoes + almonds + olive oil + roasted red peppers
spinach,spinach + bacon + garlic + onions + cider vinegar
spinach,spinach + bacon + walnuts
spinach,spinach + chives + goat cheese + mascarpone
spinach,spinach + cumin + garlic + lemon + yogurt
spinach,spinach + fennel + parmesan cheese + portobello mushrooms + balsamic vinegar
spinach,spinach + feta cheese + lemon juice + oregano
spinach,spinach + garlic + mushrooms
spinach,spinach + garlic + sorrel
"squash, acorn",acorn squash + custard + sage
"squash, acorn",acorn squash + ginger + maple syrup
"squash, butternut",butternut squash + anchovies + bread crumbs + onions + pasta
